"","rank","University","Total.Students","student.staff.ratio","pc.of.int.l.students","female.male.ratio"
"764","601¡V800","Shanghai University","37,347",14.3,"6%","50 : 50"
"765","601¡V800","Shiraz University of Technology","1,561",15.5,"0%","37 : 63"
"766","601¡V800","University of Siegen","12,590",26.9,"13%","54 : 46"
"767","601¡V800","University of Siena","12,772",17.5,"8%","62 : 38"
"768","601¡V800","Soochow University","46,800",16.2,"7%","56 : 44"
"769","601¡V800","Southern Cross University","11,141",32.2,"31%","61 : 39"
"770","601¡V800","Stevens Institute of Technology","6,265",16.8,"34%","29 : 71"
"771","601¡V800","University of the Sunshine Coast","10,427",30.3,"18%","68 : 32"
"772","601¡V800","SUNY Binghamton University","18,442",22.9,"12%","50 : 50"
"773","601¡V800","University of Tabriz","19,598",25.4,"4%","52 : 48"
"774","601¡V800","Tabriz University of Medical Sciences","8,684",9.9,"2%","56 : 44"
"775","601¡V800","Tallinn University of Technology","9,162",13.1,"16%","42 : 58"
"776","601¡V800","Tehran University of Medical Sciences","11,543",6.4,"8%","58 : 42"
"777","601¡V800","Universiti Teknologi Malaysia","19,192",11.5,"18%","46 : 54"
"778","601¡V800","University of Texas at Arlington","33,391",27.6,"12%","60 : 40"
"779","601¡V800","The University of Texas at San Antonio","27,066",25.2,"3%","51 : 49"
"780","601¡V800","Texas Tech University","34,018",19.2,"8%","47 : 53"
"781","601¡V800","Tokyo Metropolitan University","8,911",10.6,"5%","39 : 61"
"782","601¡V800","University of Toledo","18,217",14.9,"10%","51 : 49"
"783","601¡V800","Tomsk State University","7,724",11.7,"36%","n/a"
"784","601¡V800","TU Braunschweig","19,960",10,"15%","39 : 61"
"785","601¡V800","University of Udine","11,879",17.7,"6%","54 : 46"
"786","601¡V800","University of Ulsan","12,872",11.6,"5%","47 : 53"
"787","601¡V800","Ulster University","17,416",18.1,"9%","57 : 43"
"788","601¡V800","Umm Al-Qura University","30,043",8.3,"10%","33 : 67"
"789","601¡V800","Universiti Utara Malaysia","12,463",11.4,"30%","71 : 29"
"790","601¡V800","University of Warsaw","37,541",12.1,"10%","64 : 36"
"791","601¡V800","Wenzhou University","16,820",14.5,"4%","58 : 42"
"792","601¡V800","Wenzhou Medical University","17,300",10.9,"6%","59 : 41"
"793","601¡V800","University of the Western Cape","23,498",34.8,"5%","62 : 38"
"794","601¡V800","University of Windsor","13,853",31.1,"28%","n/a"
"795","601¡V800","University of Wisconsin-Milwaukee","19,860",19.1,"5%","54 : 46"
"796","601¡V800","Worcester Polytechnic Institute","5,982",12.9,"19%","37 : 63"
"797","601¡V800","University of Wuppertal","15,834",40.4,"11%","54 : 46"
"798","601¡V800","University of Wyoming","10,787",14.7,"6%","50 : 50"
"799","601¡V800","Xi¡¦an Jiaotong-Liverpool University","12,566",19.6,"7%","53 : 47"
"800","601¡V800","Zayed University","7,844",14.9,"2%","89 : 11"
"801","801¡V1000","Estonian University of Life Sciences","2,285",6.5,"13%","56 : 44"
"802","801¡V1000","Istanbul University-Cerrahpa<U+015F>a","26,680",24.1,"5%","40 : 60"
"803","801¡V1000","Technical University of Crete","6,875",31.3,"4%","33 : 67"
"804","801¡V1000","University of Maragheh","3,085",20.7,"0%","53 : 47"
"805","801¡V1000","University of Texas Rio Grande Valley","26,512",21.7,"3%","59 : 41"
"806","801¡V1000","Zhejiang University of Finance and Economics","16,519",19.8,"3%","63 : 37"
"807","801¡V1000","University of the Aegean","19,954",60.7,"1%","56 : 44"
"808","801¡V1000","University of Agriculture, Faisalabad","26,990",38.8,"0%","44 : 56"
"809","801¡V1000","Al-Balqa Applied University","29,814",30.6,"6%","59 : 41"
"810","801¡V1000","University of Algarve","8,264",13.7,"21%","57 : 43"
"811","801¡V1000","Aligarh Muslim University","22,215",13.8,"2%","36 : 64"
"812","801¡V1000","Amedeo Avogadro University of Eastern Piedmont","13,677",36.9,"7%","62 : 38"
"813","801¡V1000","American University in Cairo","5,904",14,"5%","56 : 44"
"814","801¡V1000","American University of Sharjah","4,476",11.7,"77%","53 : 47"
"815","801¡V1000","Amrita Vishwa Vidyapeetham","14,994",11.4,"10%","n/a"
"816","801¡V1000","University of the Andes, Colombia","15,280",12.6,"2%","45 : 55"
"817","801¡V1000","Anna University","14,966",17.2,"1%","45 : 55"
"818","801¡V1000","Arts et Metiers","6,018",16,"17%","19 : 81"
"819","801¡V1000","Athens University of Economics and Business","9,180",47.6,"5%","45 : 55"
"820","801¡V1000","University of Aveiro","12,068",14.8,"10%","53 : 47"
"821","801¡V1000","Bahce<U+015F>ehir University","17,859",46.3,"17%","52 : 48"
"822","801¡V1000","University of the Basque Country","42,869",15.1,"5%","54 : 46"
"823","801¡V1000","Bauman Moscow State Technical University","18,011",6.5,"13%","34 : 66"
"824","801¡V1000","Baylor University","18,242",15.6,"7%","59 : 41"
"825","801¡V1000","University of Bedfordshire","10,426",21.9,"48%","61 : 39"
"826","801¡V1000","University of Belgrade","94,316",19.1,"5%","62 : 38"
"827","801¡V1000","Ben-Gurion University of the Negev","16,252",20.2,"2%","52 : 48"
"828","801¡V1000","Benha University","115,000",22.2,"4%","39 : 61"
"829","801¡V1000","Beni-Suef University","80,402",29,"1%","47 : 53"
"830","801¡V1000","Bharathiar University","3,698",14.6,"0%","67 : 33"
"831","801¡V1000","Birla Institute of Technology and Science, Pilani","14,849",17.5,"2%","19 : 81"
"832","801¡V1000","Bo<U+011F>azici University","13,108",23.6,"3%","46 : 54"
"833","801¡V1000","Carlos III University of Madrid","17,820",11.1,"16%","45 : 55"
"834","801¡V1000","University of Central Lancashire","17,644",13.4,"20%","59 : 41"
"835","801¡V1000","Central Queensland University","16,886",21.1,"37%","53 : 47"
"836","801¡V1000","Chang Gung University","7,232",12.4,"6%","49 : 51"
"837","801¡V1000","Chapman University","9,060",12.7,"7%","61 : 39"
"838","801¡V1000","Charles Sturt University","23,264",23.1,"27%","57 : 43"
"839","801¡V1000","University of Chile","37,264",15.4,"5%","49 : 51"
"840","801¡V1000","China University of Geosciences, Beijing","16,408",14.7,"1%","36 : 64"
"841","801¡V1000","China University of Geosciences, Wuhan","29,999",16,"4%","n/a"
"842","801¡V1000","China University of Mining and Technology","49,032",19,"2%","34 : 66"
"843","801¡V1000","China University of Petroleum, Beijing","16,139",16.5,"6%","n/a"
"844","801¡V1000","Chulalongkorn University","34,719",11.1,"3%","59 : 41"
"845","801¡V1000","Clarkson University","4,466",15.7,"10%","35 : 65"
"846","801¡V1000","Clemson University","22,785",16,"7%","48 : 52"
"847","801¡V1000","University of Clermont Auvergne","35,613",20.5,"14%","56 : 44"
"848","801¡V1000","University of Colombo","30,227",31.1,"0%","65 : 35"
"849","801¡V1000","COMSATS University Islamabad","35,851",14.2,"1%","32 : 68"
"850","801¡V1000","University of Cordoba","17,605",14.6,"9%","57 : 43"
"851","801¡V1000","Creighton University","8,749",13.5,"4%","59 : 41"
"852","801¡V1000","University of Debrecen","28,593",16.8,"22%","55 : 45"
"853","801¡V1000","University of Delhi","25,543",23.4,"1%","47 : 53"
"854","801¡V1000","University of Dhaka","207,118",16.5,"3%","48 : 52"
"855","801¡V1000","Donghua University","22,434",14.4,"6%","45 : 55"
"856","801¡V1000","East China University of Science and Technology","27,720",16.5,"2%","38 : 62"
"857","801¡V1000","University of East London","10,769",19.5,"36%","62 : 38"
"858","801¡V1000","Ecole Centrale de Lyon","2,088",15.2,"24%","25 : 75"
"859","801¡V1000","Edge Hill University","11,151",14.5,"6%","69 : 31"
"860","801¡V1000","European University of Madrid","10,576",10.6,"32%","49 : 51"
"861","801¡V1000","Universidade Federal de Santa Catarina","38,086",15.6,"3%","51 : 49"
"862","801¡V1000","Universidade Federal de Sao Paulo (UNIFESP)","18,588",9.9,"1%","59 : 41"
"863","801¡V1000","Florida Agricultural and Mechanical University","9,667",18.1,"1%","66 : 34"
"864","801¡V1000","Florida Atlantic University","25,416",19.2,"9%","58 : 42"
"865","801¡V1000","Florida Institute of Technology","5,400",15.6,"30%","35 : 65"
"866","801¡V1000","University of Foggia","10,702",32.6,"1%","63 : 37"
"867","801¡V1000","University of Fortaleza (UNIFOR)","20,775",17.5,"0%","54 : 46"
"868","801¡V1000","Fujita Health University","3,112",3.2,"1%","56 : 44"
"869","801¡V1000","Fuzhou University","37,509",15.8,"1%","40 : 60"
"870","801¡V1000","Hiroshima University","15,048",8.7,"12%","38 : 62"
"871","801¡V1000","Reichman University","7,601",14.9,"26%","51 : 49"
"872","801¡V1000","Imam Abdulrahman Bin Faisal University","24,510",8.2,"3%","76 : 24"
"873","801¡V1000","Indian Institute of Science Education and Research, Pune","1,440",10.7,"0%","31 : 69"
"874","801¡V1000","Indian Institute of Science Education and Research Kolkata","1,477",12.5,"0%","26 : 74"
"875","801¡V1000","Indian Institute of Technology Patna","1,810",14.4,"0%","18 : 82"
"876","801¡V1000","University of Indonesia","39,418",9.6,"12%","65 : 35"
"877","801¡V1000","Universitat Internacional de Catalunya","4,881",12.6,"35%","62 : 38"
"878","801¡V1000","University of Ioannina","23,134",35.9,"4%","52 : 48"
"879","801¡V1000","Isfahan University of Medical Sciences","20,085",20.5,"2%","65 : 35"
"880","801¡V1000","Isfahan University of Technology","10,400",22.9,"1%","42 : 58"
"881","801¡V1000","Istanbul Medeniyet University","8,661",11,"2%","54 : 46"
"882","801¡V1000","Iuliu Ha<U+0163>ieganu University of Medicine and Pharmacy Cluj-Napoca","7,880",7.7,"34%","66 : 34"
"883","801¡V1000","Jadavpur University","12,967",21.3,"1%","32 : 68"
"884","801¡V1000","University of Jaen","14,241",16.9,"8%","57 : 43"
"885","801¡V1000","Jaume I University","11,745",14.9,"10%","59 : 41"
"886","801¡V1000","Jiangsu University","35,947",9.5,"6%","42 : 58"
"887","801¡V1000","Jiangsu Normal University","23,006",14.1,"2%","n/a"
"888","801¡V1000","Jikei University School of Medicine","1,098",0.9,"0%","45 : 55"
"889","801¡V1000","The University of Jordan","30,062",13.7,"17%","67 : 33"
"890","801¡V1000","Juntendo University","5,468",4.3,"3%","55 : 45"
"891","801¡V1000","Kalasalingam Academy of Research and Education","7,015",8.8,"0%","41 : 59"
"892","801¡V1000","Kansas State University","20,529",13.2,"8%","50 : 50"
"893","801¡V1000","Karlstad University","8,985",13.3,"%","62 : 38"
"894","801¡V1000","Kazan Federal University","22,587",10.2,"30%","75 : 25"
"895","801¡V1000","Kent State University","23,092",18.3,"6%","61 : 39"
"896","801¡V1000","KIIT University","24,680",12.6,"5%","49 : 51"
"897","801¡V1000","Kindai University","33,370",14.6,"2%","32 : 68"
"898","801¡V1000","King Khalid University","39,668",8.9,"9%","54 : 46"
"899","801¡V1000","King Mongkut¡¦s University of Technology Thonburi","15,348",19.8,"2%","47 : 53"
"900","801¡V1000","King Saud bin Abdulaziz University for Health Sciences","12,652",12.1,"0%","52 : 48"
"901","801¡V1000","Kingston University","14,277",18.4,"39%","59 : 41"
"902","801¡V1000","Kurume University","4,997",8.4,"2%","n/a"
"903","801¡V1000","Kuwait University","37,104",22.6,"14%","75 : 25"
"904","801¡V1000","Lahore University of Management Sciences","4,228",14.4,"1%","42 : 58"
"905","801¡V1000","Lakehead University","8,254",24.9,"18%","54 : 46"
"906","801¡V1000","Lebanese American University","7,425",10.4,"18%","51 : 49"
"907","801¡V1000","Leeds Beckett University","18,639",19.3,"12%","54 : 46"
"908","801¡V1000","University of Leoben","2,643",4.8,"14%","23 : 77"
"909","801¡V1000","University of Ljubljana","37,874",13.3,"7%","60 : 40"
"910","801¡V1000","University of Lleida","9,161",15.5,"9%","60 : 40"
"911","801¡V1000","London South Bank University","12,144",16.4,"33%","57 : 43"
"912","801¡V1000","University of Malta","10,137",11.3,"10%","59 : 41"
"913","801¡V1000","Marquette University","10,811",12.3,"3%","55 : 45"
"914","801¡V1000","Masaryk University","30,485",18.6,"23%","62 : 38"
"915","801¡V1000","University of Memphis","16,109",13.9,"3%","59 : 41"
"916","801¡V1000","Menoufia University","79,591",25.9,"1%","52 : 48"
"917","801¡V1000","Metropolitan Autonomous University","59,705",20.8,"0%","49 : 51"
"918","801¡V1000","Miguel Hernandez University of Elche","12,159",17.5,"6%","48 : 52"
"919","801¡V1000","University of Minho","19,246",19,"15%","55 : 45"
"920","801¡V1000","University of Namur","6,727",20.2,"12%","56 : 44"
"921","801¡V1000","Nanjing University of Information Science and Technology","29,088",16.9,"4%","n/a"
"922","801¡V1000","Nanjing Normal University","30,317",12.6,"4%","69 : 31"
"923","801¡V1000","Nanjing Tech University","36,816",13.8,"3%","n/a"
"924","801¡V1000","National Autonomous University of Mexico","167,254",16.8,"7%","51 : 49"
"925","801¡V1000","National Institute of Technology Rourkela","6,757",17.4,"5%","15 : 85"
"926","801¡V1000","National University of Sciences and Technology","11,375",8.9,"5%","33 : 67"
"927","801¡V1000","National Sun Yat-Sen University","7,991",12.6,"10%","40 : 60"
"928","801¡V1000","National Technical University of Athens","13,309",18.9,"6%","36 : 64"
"929","801¡V1000","National Institute of Technology Silchar","3,494",12.8,"1%","16 : 84"
"930","801¡V1000","Near East University","20,147",18.7,"86%","44 : 56"
"931","801¡V1000","University of Nevada, Las Vegas","26,176",22.9,"4%","57 : 43"
"932","801¡V1000","The New School","10,379",10.5,"35%","72 : 28"
"933","801¡V1000","New Mexico State University (Main campus)","12,401",16,"6%","56 : 44"
"934","801¡V1000","Niigata University","12,061",7.8,"3%","38 : 62"
"935","801¡V1000","Normandy University","68,075",21.8,"12%","56 : 44"
"936","801¡V1000","University of North Carolina at Charlotte","27,133",19.9,"7%","48 : 52"
"937","801¡V1000","University of North Carolina at Greensboro","18,077",19.4,"4%","71 : 29"
"938","801¡V1000","Northeast Normal University","30,340",18.8,"5%","70 : 30"
"939","801¡V1000","University of Northern British Columbia (UNBC)","2,918",14.8,"9%","62 : 38"
"940","801¡V1000","NorthWest A&F University","29,511",14.5,"1%","49 : 51"
"941","801¡V1000","Novosibirsk State University","7,008",6.5,"20%","n/a"
"942","801¡V1000","Old Dominion University","18,713",17.9,"3%","56 : 44"
"943","801¡V1000","University of Oviedo","20,844",12.9,"3%","54 : 46"
"944","801¡V1000","Palacky University Olomouc","17,818",14.2,"13%","69 : 31"
"945","801¡V1000","University of Patras","25,870",27.2,"5%","44 : 56"
"946","801¡V1000","University of Pecs","17,223",11.4,"24%","57 : 43"
"947","801¡V1000","Universiti Pendidikan Sultan Idris","6,312",10.5,"16%","52 : 48"
"948","801¡V1000","Polytechnic University of Valencia","22,562",10.8,"16%","42 : 58"
"949","801¡V1000","Pontifical Catholic University of Rio de Janeiro (PUC-Rio)","14,332",20.7,"3%","50 : 50"
"950","801¡V1000","Pontifical Catholic University of Rio Grande do Sul (PUCRS)","15,149",22.1,"1%","42 : 58"
"951","801¡V1000","Portland State University","19,576",18.3,"7%","56 : 44"
"952","801¡V1000","Pusan National University","21,447",16.5,"5%","44 : 56"
"953","801¡V1000","Qingdao University","44,244",17.7,"1%","55 : 45"
"954","801¡V1000","University of Rennes 1","29,058",18.8,"12%","52 : 48"
"955","801¡V1000","Rochester Institute of Technology","14,383",15.6,"17%","35 : 65"
"956","801¡V1000","University of Roehampton","7,668",15.8,"31%","70 : 30"
"957","801¡V1000","Ryerson University","35,543",42.5,"7%","55 : 45"
"958","801¡V1000","University of Salamanca","28,269",17.3,"18%","60 : 40"
"959","801¡V1000","University of Salento","13,085",22.4,"1%","62 : 38"
"960","801¡V1000","University of Salford","17,448",18.6,"19%","54 : 46"
"961","801¡V1000","Universidad San Francisco de Quito","8,466",10.6,"4%","51 : 49"
"962","801¡V1000","University of Santiago de Compostela","24,795",14.9,"9%","61 : 39"
"963","801¡V1000","Savitribai Phule Pune University","5,078",12,"2%","46 : 54"
"964","801¡V1000","University of Science and Technology Beijing","27,845",16.2,"4%","36 : 64"
"965","801¡V1000","Shahid Beheshti University","18,483",21.6,"2%","51 : 49"
"966","801¡V1000","Shanghai University of Finance and Economics (SUFE)","16,012",15.3,"4%","55 : 45"
"967","801¡V1000","Shantou University","12,543",12.9,"1%","48 : 52"
"968","801¡V1000","Sheffield Hallam University","25,535",16.8,"11%","55 : 45"
"969","801¡V1000","Shiraz University","13,572",19.5,"1%","53 : 47"
"970","801¡V1000","Shiraz University of Medical Sciences","10,710",10.9,"2%","57 : 43"
"971","801¡V1000","Sidi Mohamed Ben Abdellah University","87,745",51.7,"2%","48 : 52"
"972","801¡V1000","University of South Africa","193,543",204.1,"5%","71 : 29"
"973","801¡V1000","University of South Bohemia in <U+010C>eske Bud<U+011B>jovice","8,952",14.1,"6%","70 : 30"
"974","801¡V1000","South China Normal University","30,027",16.6,"4%","n/a"
"975","801¡V1000","University of South Dakota","7,669",17.9,"3%","59 : 41"
"976","801¡V1000","South Valley University","47,430",58.1,"0%","61 : 39"
"977","801¡V1000","St Francis Xavier University","4,387",17.3,"6%","64 : 36"
"978","801¡V1000","Sultan Qaboos University","6,755",7.4,"4%","50 : 50"
"979","801¡V1000","Symbiosis International University","17,363",12.9,"11%","47 : 53"
"980","801¡V1000","University of Szeged","19,108",12.1,"21%","55 : 45"
"981","801¡V1000","Technical University of Madrid","38,794",15.4,"15%","32 : 68"
"982","801¡V1000","University of Technology, Iraq","9,309",6.4,"0%","47 : 53"
"983","801¡V1000","University of Tehran","43,998",21,"2%","45 : 55"
"984","801¡V1000","Teikyo University","23,015",16.1,"4%","36 : 64"
"985","801¡V1000","Universiti Tenaga Nasional (UNITEN)","5,644",13,"8%","35 : 65"
"986","801¡V1000","University of Texas at El Paso","17,877",23.2,"8%","53 : 47"
"987","801¡V1000","University of Thessaly","18,036",30.1,"2%","43 : 57"
"988","801¡V1000","Tomsk Polytechnic University","8,794",9.2,"28%","32 : 68"
"989","801¡V1000","University of Tras-os-Montes and Alto Douro","6,687",11.5,"6%","57 : 43"
"990","801¡V1000","Tribhuvan University","428,485",31.4,"0%","50 : 50"
"991","801¡V1000","Veltech University","6,804",14.3,"2%","16 : 84"
"992","801¡V1000","Vilnius University","16,815",10.6,"9%","65 : 35"
"993","801¡V1000","VIT University","34,526",19.6,"2%","26 : 74"
"994","801¡V1000","Waseda University","47,565",14.9,"12%","38 : 62"
"995","801¡V1000","University of Westminster","16,145",20.8,"50%","60 : 40"
"996","801¡V1000","Wuhan University of Technology","53,791",14.6,"3%","30 : 70"
"997","801¡V1000","Xidian University","36,124",16.3,"2%","27 : 73"
"998","801¡V1000","Yasouj University","5,898",24.6,"0%","52 : 48"
"999","801¡V1000","Yeungnam University","19,589",14.8,"5%","51 : 49"
"1000","801¡V1000","Zagazig University","147,705",22.4,"2%","52 : 48"
"1001","801¡V1000","Zewail City of Science and Technology","958",9.1,"0%","37 : 63"
"1002","1001¡V1200","Bangladesh Agricultural University (BAU)","8,088",14.3,"1%","44 : 56"
"1003","1001¡V1200","Kwame Nkrumah University of Science and Technology","63,628",67.3,"1%","44 : 56"
"1004","1001¡V1200","Medical University of Bialystok","5,284",12.7,"7%","76 : 24"
"1005","1001¡V1200","University of the South Pacific","11,208",31.3,"1%","57 : 43"
"1006","1001¡V1200","Acharya Nagarjuna University","4,858",9.7,"7%","37 : 63"
"1007","1001¡V1200","University of A Coruna","14,735",12.2,"5%","52 : 48"
"1008","1001¡V1200","Adam Mickiewicz University, Pozna<U+0144>","33,714",19.9,"4%","69 : 31"
"1009","1001¡V1200","Aichi Medical University","1,304",2.7,"1%","58 : 42"
"1010","1001¡V1200","Ain Shams University","201,733",15.9,"3%","56 : 44"
"1011","1001¡V1200","Al-Azhar University","376,303",34.2,"5%","40 : 60"
"1012","1001¡V1200","Alexandria University","188,711",26.4,"4%","54 : 46"
"1013","1001¡V1200","University of Almeria","12,996",18.7,"12%","55 : 45"
"1014","1001¡V1200","University of the Andes, Chile","9,254",18.9,"2%","58 : 42"
"1015","1001¡V1200","University of Antioquia","37,141",21.2,"0%","50 : 50"
"1016","1001¡V1200","Assiut University","92,965",17.8,"1%","52 : 48"
"1017","1001¡V1200","Ataturk University","63,400",34.6,"2%","49 : 51"
"1018","1001¡V1200","At<U+0131>l<U+0131>m University","9,421",15.4,"5%","41 : 59"
"1019","1001¡V1200","Babe<U+015F>-Bolyai University","36,951",22.9,"4%","67 : 33"
"1020","1001¡V1200","Bandung Institute of Technology (ITB)","18,239",12,"2%","56 : 44"
"1021","1001¡V1200","Beijing Forestry University","20,196",15.6,"1%","65 : 35"
"1022","1001¡V1200","Beijing Jiaotong University","30,608",14.9,"7%","39 : 61"
"1023","1001¡V1200","Beijing University of Technology","22,746",11.9,"2%","41 : 59"
"1024","1001¡V1200","Bezmialem Vakif University","3,567",11.9,"5%","72 : 28"
"1025","1001¡V1200","Bowling Green State University","15,268",16.2,"4%","56 : 44"
"1026","1001¡V1200","University of Brasilia","45,425",14.9,"2%","51 : 49"
"1027","1001¡V1200","University of Cadiz","18,763",17.7,"9%","56 : 44"
"1028","1001¡V1200","Canterbury Christ Church University","10,920",17.4,"13%","69 : 31"
"1029","1001¡V1200","Cardiff Metropolitan University","9,061",18.2,"20%","56 : 44"
"1030","1001¡V1200","Polytechnic University of Cartagena","4,541",10.3,"8%","27 : 73"
"1031","1001¡V1200","University of Castilla-La Mancha","21,735",12.4,"7%","57 : 43"
"1032","1001¡V1200","The Catholic University of Korea","9,840",7.4,"4%","60 : 40"
"1033","1001¡V1200","Universidad Catolica San Antonio de Murcia (UCAM)","10,828",19.7,"12%","55 : 45"
"1034","1001¡V1200","Central University of Finance and Economics","16,066",14.4,"4%","63 : 37"
"1035","1001¡V1200","Chengdu University","22,106",18.1,"1%","55 : 45"
"1036","1001¡V1200","Chiang Mai University","33,357",14.1,"3%","61 : 39"
"1037","1001¡V1200","Chiba University","13,868",10,"5%","38 : 62"
"1038","1001¡V1200","China University of Petroleum (East China)","25,206",15,"2%","32 : 68"
"1039","1001¡V1200","China Pharmaceutical University","24,013",19.3,"2%","68 : 32"
"1040","1001¡V1200","Chonnam National University","22,250",17.1,"9%","48 : 52"
"1041","1001¡V1200","Chungnam National University","21,471",21.1,"4%","46 : 54"
"1042","1001¡V1200","Chung Yuan Christian University","15,314",32,"10%","45 : 55"
"1043","1001¡V1200","Comenius University in Bratislava","21,008",9.7,"13%","65 : 35"
"1044","1001¡V1200","University of Concepcion","28,260",17.2,"2%","52 : 48"
"1045","1001¡V1200","Czech University of Life Sciences Prague (CULS)","17,460",17.1,"21%","53 : 47"
"1046","1001¡V1200","Czech Technical University in Prague","17,410",10,"20%","28 : 72"
"1047","1001¡V1200","Dr B.R. Ambedkar National Institute of Technology Jalandhar","3,980",20.7,"0%","15 : 85"
"1048","1001¡V1200","Duzce University","21,597",35.9,"3%","48 : 52"
"1049","1001¡V1200","Universidade Estadual Paulista (Unesp)","40,396",14.5,"3%","51 : 49"
"1050","1001¡V1200","Fayoum University","40,988",16.4,"1%","64 : 36"
"1051","1001¡V1200","Universidade Federal do ABC (UFABC)","17,325",23.3,"1%","36 : 64"
"1052","1001¡V1200","Federal University of Pelotas","21,940",16.3,"1%","56 : 44"
"1053","1001¡V1200","Federal University of Rio de Janeiro","53,721",13.7,"2%","54 : 46"
"1054","1001¡V1200","Federal University of Sao Carlos","19,648",14.8,"2%","49 : 51"
"1055","1001¡V1200","Ferdowsi University of Mashhad","23,747",29.7,"8%","55 : 45"
"1056","1001¡V1200","University of La Frontera","11,018",26.2,"1%","46 : 54"
"1057","1001¡V1200","Fu Jen Catholic University","18,375",24.2,"7%","58 : 42"
"1058","1001¡V1200","Gda<U+0144>sk University of Technology","13,778",18.4,"5%","39 : 61"
"1059","1001¡V1200","Georgia Southern University","18,040",17.3,"3%","57 : 43"
"1060","1001¡V1200","University of Ghana","43,877",26.7,"1%","46 : 54"
"1061","1001¡V1200","Guangxi University","39,846",19,"2%","47 : 53"
"1062","1001¡V1200","University of Guilan","17,460",35.2,"2%","58 : 42"
"1063","1001¡V1200","Guru Jambheshwar University of Science and Technology","5,705",17.5,"1%","41 : 59"
"1064","1001¡V1200","Hamamatsu University School of Medicine","1,207",3.7,"2%","49 : 51"
"1065","1001¡V1200","Universite Polytechnique Hauts-de-France","13,633",20.9,"13%","46 : 54"
"1066","1001¡V1200","Huaqiao University","30,864",17.3,"16%","47 : 53"
"1067","1001¡V1200","Hyogo College of Medicine","931",2.2,"1%","37 : 63"
"1068","1001¡V1200","Ibn Tofail University","49,037",72.4,"2%","47 : 53"
"1069","1001¡V1200","Ilmenau University of Technology","5,608",17.8,"26%","28 : 72"
"1070","1001¡V1200","Incheon National University","13,457",17.5,"3%","n/a"
"1071","1001¡V1200","Indian Institute of Technology Bhubaneswar","1,778",12.7,"0%","14 : 86"
"1072","1001¡V1200","Indian Institute of Technology (Indian School of Mines) Dhanbad","7,287",21.9,"0%","15 : 85"
"1073","1001¡V1200","Indian Institute of Science Education and Research Bhopal","1,581",13.2,"0%","33 : 67"
"1074","1001¡V1200","Indian Institute of Technology Mandi","1,367",10.4,"1%","26 : 74"
"1075","1001¡V1200","Inha University","18,801",22.4,"8%","42 : 58"
"1076","1001¡V1200","The Islamia University of Bahawalpur","29,156",24.3,"0%","38 : 62"
"1077","1001¡V1200","Istanbul University","84,991",35.8,"8%","50 : 50"
"1078","1001¡V1200","Jamia Hamdard University","9,138",18.8,"4%","44 : 56"
"1079","1001¡V1200","University of Jeddah","23,342",12.1,"2%","67 : 33"
"1080","1001¡V1200","Jeonbuk National University","20,488",20.1,"6%","45 : 55"
"1081","1001¡V1200","Jianghan University","17,855",13.9,"2%","55 : 45"
"1082","1001¡V1200","Jilin University","72,804",11,"3%","47 : 53"
"1083","1001¡V1200","Kanazawa University","10,392",9.9,"6%","37 : 63"
"1084","1001¡V1200","Kaohsiung Medical University","6,487",11.8,"7%","58 : 42"
"1085","1001¡V1200","Karabuk University","47,208",45.5,"19%","40 : 60"
"1086","1001¡V1200","Kharkiv National University of Radio Electronics","7,670",10.9,"10%","24 : 76"
"1087","1001¡V1200","King Faisal University","29,946",24.1,"2%","62 : 38"
"1088","1001¡V1200","King George¡¦s Medical University","3,083",7.2,"0%","47 : 53"
"1089","1001¡V1200","KL University","17,201",14.9,"2%","34 : 66"
"1090","1001¡V1200","K.N. Toosi University of Technology","7,140",23.5,"1%","30 : 70"
"1091","1001¡V1200","Kumamoto University","9,935",8,"8%","38 : 62"
"1092","1001¡V1200","Kyoto Prefectural University of Medicine","1,358",3.4,"1%","46 : 54"
"1093","1001¡V1200","University of Lahore","29,658",14.9,"2%","36 : 64"
"1094","1001¡V1200","University of Las Palmas de Gran Canaria","17,823",18.2,"8%","57 : 43"
"1095","1001¡V1200","Lebanese University","49,737",15.5,"16%","70 : 30"
"1096","1001¡V1200","University of Leon","12,121",13.2,"15%","53 : 47"
"1097","1001¡V1200","Lorestan University","8,700",26,"1%","56 : 44"
"1098","1001¡V1200","Lovely Professional University","31,102",15.1,"6%","23 : 77"
"1099","1001¡V1200","University of Malaga","35,860",12.3,"7%","54 : 46"
"1100","1001¡V1200","Universiti Malaysia Perlis","11,084",10.7,"5%","42 : 58"
"1101","1001¡V1200","Manipal Academy of Higher Education","22,337",9,"12%","49 : 51"
"1102","1001¡V1200","University of Manouba","16,874",12.8,"2%","67 : 33"
"1103","1001¡V1200","University of Maribor","11,732",13.2,"7%","54 : 46"
"1104","1001¡V1200","University of Mazandaran","13,672",33.2,"7%","61 : 39"
"1105","1001¡V1200","Medical University of Warsaw","10,221",6.8,"8%","72 : 28"
"1106","1001¡V1200","Minia University","76,018",18.7,"1%","59 : 41"
"1107","1001¡V1200","Mississippi State University","28,074",19.6,"3%","52 : 48"
"1108","1001¡V1200","Morgan State University","7,118",12.6,"10%","56 : 44"
"1109","1001¡V1200","University of Mumbai","13,196",23.7,"0%","44 : 56"
"1110","1001¡V1200","University of Murcia","27,067",15.9,"8%","62 : 38"
