rank,University,Total Students,student staff ratio,pc of int'l students,female:male ratio
801–1000,Kansas State University,"20,529",13.2,8%,50 : 50
801–1000,Karlstad University,"8,985",13.3,%,62 : 38
801–1000,Kazan Federal University,"22,587",10.2,30%,75 : 25
801–1000,Kent State University,"23,092",18.3,6%,61 : 39
801–1000,KIIT University,"24,680",12.6,5%,49 : 51
801–1000,Kindai University,"33,370",14.6,2%,32 : 68
801–1000,King Khalid University,"39,668",8.9,9%,54 : 46
801–1000,King Mongkut’s University of Technology Thonburi,"15,348",19.8,2%,47 : 53
801–1000,King Saud bin Abdulaziz University for Health Sciences,"12,652",12.1,0%,52 : 48
801–1000,Kingston University,"14,277",18.4,39%,59 : 41
801–1000,Kurume University,"4,997",8.4,2%,
801–1000,Kuwait University,"37,104",22.6,14%,75 : 25
801–1000,Lahore University of Management Sciences,"4,228",14.4,1%,42 : 58
801–1000,Lakehead University,"8,254",24.9,18%,54 : 46
801–1000,Lebanese American University,"7,425",10.4,18%,51 : 49
801–1000,Leeds Beckett University,"18,639",19.3,12%,54 : 46
801–1000,University of Leoben,"2,643",4.8,14%,23 : 77
801–1000,University of Ljubljana,"37,874",13.3,7%,60 : 40
801–1000,University of Lleida,"9,161",15.5,9%,60 : 40
801–1000,London South Bank University,"12,144",16.4,33%,57 : 43
801–1000,University of Malta,"10,137",11.3,10%,59 : 41
801–1000,Marquette University,"10,811",12.3,3%,55 : 45
801–1000,Masaryk University,"30,485",18.6,23%,62 : 38
801–1000,University of Memphis,"16,109",13.9,3%,59 : 41
801–1000,Menoufia University,"79,591",25.9,1%,52 : 48
801–1000,Metropolitan Autonomous University,"59,705",20.8,0%,49 : 51
801–1000,Miguel Hernandez University of Elche,"12,159",17.5,6%,48 : 52
801–1000,University of Minho,"19,246",19.0,15%,55 : 45
801–1000,University of Namur,"6,727",20.2,12%,56 : 44
801–1000,Nanjing University of Information Science and Technology,"29,088",16.9,4%,
801–1000,Nanjing Normal University,"30,317",12.6,4%,69 : 31
801–1000,Nanjing Tech University,"36,816",13.8,3%,
801–1000,National Autonomous University of Mexico,"167,254",16.8,7%,51 : 49
801–1000,National Institute of Technology Rourkela,"6,757",17.4,5%,15 : 85
801–1000,National University of Sciences and Technology,"11,375",8.9,5%,33 : 67
801–1000,National Sun Yat-Sen University,"7,991",12.6,10%,40 : 60
801–1000,National Technical University of Athens,"13,309",18.9,6%,36 : 64
801–1000,National Institute of Technology Silchar,"3,494",12.8,1%,16 : 84
801–1000,Near East University,"20,147",18.7,86%,44 : 56
801–1000,"University of Nevada, Las Vegas","26,176",22.9,4%,57 : 43
801–1000,The New School,"10,379",10.5,35%,72 : 28
801–1000,New Mexico State University (Main campus),"12,401",16.0,6%,56 : 44
801–1000,Niigata University,"12,061",7.8,3%,38 : 62
801–1000,Normandy University,"68,075",21.8,12%,56 : 44
801–1000,University of North Carolina at Charlotte,"27,133",19.9,7%,48 : 52
801–1000,University of North Carolina at Greensboro,"18,077",19.4,4%,71 : 29
801–1000,Northeastern University,"38,205",14.7,2%,
801–1000,Northeast Normal University,"30,340",18.8,5%,70 : 30
801–1000,University of Northern British Columbia (UNBC),"2,918",14.8,9%,62 : 38
801–1000,NorthWest A&F University,"29,511",14.5,1%,49 : 51
801–1000,Novosibirsk State University,"7,008",6.5,20%,
801–1000,Old Dominion University,"18,713",17.9,3%,56 : 44
801–1000,University of Oviedo,"20,844",12.9,3%,54 : 46
801–1000,Palacky University Olomouc,"17,818",14.2,13%,69 : 31
801–1000,University of Patras,"25,870",27.2,5%,44 : 56
801–1000,University of Pecs,"17,223",11.4,24%,57 : 43
801–1000,Universiti Pendidikan Sultan Idris,"6,312",10.5,16%,52 : 48
801–1000,Polytechnic University of Valencia,"22,562",10.8,16%,42 : 58
801–1000,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),"14,332",20.7,3%,50 : 50
801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS),"15,149",22.1,1%,42 : 58
801–1000,Portland State University,"19,576",18.3,7%,56 : 44
801–1000,Pusan National University,"21,447",16.5,5%,44 : 56
801–1000,Qingdao University,"44,244",17.7,1%,55 : 45
801–1000,University of Rennes 1,"29,058",18.8,12%,52 : 48
801–1000,Rochester Institute of Technology,"14,383",15.6,17%,35 : 65
801–1000,University of Roehampton,"7,668",15.8,31%,70 : 30
801–1000,Ryerson University,"35,543",42.5,7%,55 : 45
801–1000,University of Salamanca,"28,269",17.3,18%,60 : 40
801–1000,University of Salento,"13,085",22.4,1%,62 : 38
801–1000,University of Salford,"17,448",18.6,19%,54 : 46
801–1000,Universidad San Francisco de Quito,"8,466",10.6,4%,51 : 49
801–1000,University of Santiago de Compostela,"24,795",14.9,9%,61 : 39
801–1000,Savitribai Phule Pune University,"5,078",12.0,2%,46 : 54
801–1000,University of Science and Technology Beijing,"27,845",16.2,4%,36 : 64
801–1000,Shahid Beheshti University,"18,483",21.6,2%,51 : 49
801–1000,Shanghai University of Finance and Economics (SUFE),"16,012",15.3,4%,55 : 45
801–1000,Shantou University,"12,543",12.9,1%,48 : 52
801–1000,Sheffield Hallam University,"25,535",16.8,11%,55 : 45
801–1000,Shiraz University,"13,572",19.5,1%,53 : 47
801–1000,Shiraz University of Medical Sciences,"10,710",10.9,2%,57 : 43
801–1000,Sidi Mohamed Ben Abdellah University,"87,745",51.7,2%,48 : 52
801–1000,University of South Africa,"193,543",204.1,5%,71 : 29
801–1000,University of South Bohemia in <U+010C>eske Bud<U+011B>jovice,"8,952",14.1,6%,70 : 30
801–1000,South China Normal University,"30,027",16.6,4%,
801–1000,University of South Dakota,"7,669",17.9,3%,59 : 41
801–1000,South Valley University,"47,430",58.1,0%,61 : 39
801–1000,St Francis Xavier University,"4,387",17.3,6%,64 : 36
801–1000,Sultan Qaboos University,"6,755",7.4,4%,50 : 50
801–1000,Symbiosis International University,"17,363",12.9,11%,47 : 53
801–1000,University of Szeged,"19,108",12.1,21%,55 : 45
801–1000,Technical University of Madrid,"38,794",15.4,15%,32 : 68
801–1000,"University of Technology, Iraq","9,309",6.4,0%,47 : 53
801–1000,University of Tehran,"43,998",21.0,2%,45 : 55
801–1000,Teikyo University,"23,015",16.1,4%,36 : 64
801–1000,Universiti Tenaga Nasional (UNITEN),"5,644",13.0,8%,35 : 65
801–1000,University of Texas at El Paso,"17,877",23.2,8%,53 : 47
801–1000,University of Thessaly,"18,036",30.1,2%,43 : 57
801–1000,Tomsk Polytechnic University,"8,794",9.2,28%,32 : 68
801–1000,University of Tras-os-Montes and Alto Douro,"6,687",11.5,6%,57 : 43
801–1000,Tribhuvan University,"428,485",31.4,0%,50 : 50
801–1000,Veltech University,"6,804",14.3,2%,16 : 84
801–1000,Vilnius University,"16,815",10.6,9%,65 : 35
801–1000,VIT University,"34,526",19.6,2%,26 : 74
801–1000,Waseda University,"47,565",14.9,12%,38 : 62
801–1000,University of Westminster,"16,145",20.8,50%,60 : 40
801–1000,Wuhan University of Technology,"53,791",14.6,3%,30 : 70
801–1000,Xidian University,"36,124",16.3,2%,27 : 73
801–1000,Yasouj University,"5,898",24.6,0%,52 : 48
801–1000,Yeungnam University,"19,589",14.8,5%,51 : 49
801–1000,Zagazig University,"147,705",22.4,2%,52 : 48
801–1000,Zewail City of Science and Technology,958,9.1,0%,37 : 63
1001–1200,Bangladesh Agricultural University (BAU),"8,088",14.3,1%,44 : 56
1001–1200,Kwame Nkrumah University of Science and Technology,"63,628",67.3,1%,44 : 56
1001–1200,Medical University of Bialystok,"5,284",12.7,7%,76 : 24
1001–1200,University of the South Pacific,"11,208",31.3,1%,57 : 43
1001–1200,Acharya Nagarjuna University,"4,858",9.7,7%,37 : 63
1001–1200,University of A Coruna,"14,735",12.2,5%,52 : 48
1001–1200,"Adam Mickiewicz University, Pozna<U+0144>","33,714",19.9,4%,69 : 31
1001–1200,Aichi Medical University,"1,304",2.7,1%,58 : 42
1001–1200,Ain Shams University,"201,733",15.9,3%,56 : 44
1001–1200,Al-Azhar University,"376,303",34.2,5%,40 : 60
1001–1200,Alexandria University,"188,711",26.4,4%,54 : 46
1001–1200,University of Almeria,"12,996",18.7,12%,55 : 45
1001–1200,"University of the Andes, Chile","9,254",18.9,2%,58 : 42
1001–1200,University of Antioquia,"37,141",21.2,0%,50 : 50
1001–1200,Assiut University,"92,965",17.8,1%,52 : 48
1001–1200,Ataturk University,"63,400",34.6,2%,49 : 51
1001–1200,At<U+0131>l<U+0131>m University,"9,421",15.4,5%,41 : 59
1001–1200,Babe<U+015F>-Bolyai University,"36,951",22.9,4%,67 : 33
1001–1200,Bandung Institute of Technology (ITB),"18,239",12.0,2%,56 : 44
1001–1200,Beijing Forestry University,"20,196",15.6,1%,65 : 35
1001–1200,Beijing Jiaotong University,"30,608",14.9,7%,39 : 61
1001–1200,Beijing University of Technology,"22,746",11.9,2%,41 : 59
1001–1200,Bezmialem Vakif University,"3,567",11.9,5%,72 : 28
1001–1200,Bowling Green State University,"15,268",16.2,4%,56 : 44
1001–1200,University of Brasilia,"45,425",14.9,2%,51 : 49
1001–1200,University of Cadiz,"18,763",17.7,9%,56 : 44
1001–1200,Canterbury Christ Church University,"10,920",17.4,13%,69 : 31
1001–1200,Cardiff Metropolitan University,"9,061",18.2,20%,56 : 44
1001–1200,Polytechnic University of Cartagena,"4,541",10.3,8%,27 : 73
1001–1200,University of Castilla-La Mancha,"21,735",12.4,7%,57 : 43
1001–1200,The Catholic University of Korea,"9,840",7.4,4%,60 : 40
1001–1200,Universidad Catolica San Antonio de Murcia (UCAM),"10,828",19.7,12%,55 : 45
1001–1200,Central University of Finance and Economics,"16,066",14.4,4%,63 : 37
1001–1200,Chengdu University,"22,106",18.1,1%,55 : 45
1001–1200,Chiang Mai University,"33,357",14.1,3%,61 : 39
1001–1200,Chiba University,"13,868",10.0,5%,38 : 62
1001–1200,China University of Petroleum (East China),"25,206",15.0,2%,32 : 68
1001–1200,China Pharmaceutical University,"24,013",19.3,2%,68 : 32
1001–1200,Chonnam National University,"22,250",17.1,9%,48 : 52
1001–1200,Chungnam National University,"21,471",21.1,4%,46 : 54
1001–1200,Chung Yuan Christian University,"15,314",32.0,10%,45 : 55
1001–1200,Comenius University in Bratislava,"21,008",9.7,13%,65 : 35
1001–1200,University of Concepcion,"28,260",17.2,2%,52 : 48
1001–1200,Czech University of Life Sciences Prague (CULS),"17,460",17.1,21%,53 : 47
1001–1200,Czech Technical University in Prague,"17,410",10.0,20%,28 : 72
1001–1200,Dr B.R. Ambedkar National Institute of Technology Jalandhar,"3,980",20.7,0%,15 : 85
1001–1200,Duzce University,"21,597",35.9,3%,48 : 52
1001–1200,Universidade Estadual Paulista (Unesp),"40,396",14.5,3%,51 : 49
1001–1200,Fayoum University,"40,988",16.4,1%,64 : 36
1001–1200,Universidade Federal do ABC (UFABC),"17,325",23.3,1%,36 : 64
1001–1200,Federal University of Pelotas,"21,940",16.3,1%,56 : 44
1001–1200,Federal University of Rio de Janeiro,"53,721",13.7,2%,54 : 46
1001–1200,Federal University of Sao Carlos,"19,648",14.8,2%,49 : 51
1001–1200,Ferdowsi University of Mashhad,"23,747",29.7,8%,55 : 45
1001–1200,University of La Frontera,"11,018",26.2,1%,46 : 54
1001–1200,Fu Jen Catholic University,"18,375",24.2,7%,58 : 42
1001–1200,Gda<U+0144>sk University of Technology,"13,778",18.4,5%,39 : 61
1001–1200,Georgia Southern University,"18,040",17.3,3%,57 : 43
1001–1200,University of Ghana,"43,877",26.7,1%,46 : 54
1001–1200,Guangxi University,"39,846",19.0,2%,47 : 53
1001–1200,University of Guilan,"17,460",35.2,2%,58 : 42
1001–1200,Guru Jambheshwar University of Science and Technology,"5,705",17.5,1%,41 : 59
1001–1200,Hamamatsu University School of Medicine,"1,207",3.7,2%,49 : 51
1001–1200,Universite Polytechnique Hauts-de-France,"13,633",20.9,13%,46 : 54
1001–1200,Huaqiao University,"30,864",17.3,16%,47 : 53
1001–1200,Hyogo College of Medicine,931,2.2,1%,37 : 63
1001–1200,Ibn Tofail University,"49,037",72.4,2%,47 : 53
1001–1200,Ilmenau University of Technology,"5,608",17.8,26%,28 : 72
1001–1200,Incheon National University,"13,457",17.5,3%,
1001–1200,Indian Institute of Technology Bhubaneswar,"1,778",12.7,0%,14 : 86
1001–1200,Indian Institute of Technology (Indian School of Mines) Dhanbad,"7,287",21.9,0%,15 : 85
1001–1200,Indian Institute of Science Education and Research Bhopal,"1,581",13.2,0%,33 : 67
1001–1200,Indian Institute of Technology Mandi,"1,367",10.4,1%,26 : 74
1001–1200,Inha University,"18,801",22.4,8%,42 : 58
1001–1200,The Islamia University of Bahawalpur,"29,156",24.3,0%,38 : 62
1001–1200,Istanbul University,"84,991",35.8,8%,50 : 50
1001–1200,Jamia Hamdard University,"9,138",18.8,4%,44 : 56
1001–1200,University of Jeddah,"23,342",12.1,2%,67 : 33
1001–1200,Jeonbuk National University,"20,488",20.1,6%,45 : 55
1001–1200,Jianghan University,"17,855",13.9,2%,55 : 45
1001–1200,Jilin University,"72,804",11.0,3%,47 : 53
1001–1200,Kanazawa University,"10,392",9.9,6%,37 : 63
1001–1200,Kaohsiung Medical University,"6,487",11.8,7%,58 : 42
1001–1200,Karabuk University,"47,208",45.5,19%,40 : 60
1001–1200,Kharkiv National University of Radio Electronics,"7,670",10.9,10%,24 : 76
1001–1200,King Faisal University,"29,946",24.1,2%,62 : 38
1001–1200,King George’s Medical University,"3,083",7.2,0%,47 : 53
1001–1200,KL University,"17,201",14.9,2%,34 : 66
1001–1200,K.N. Toosi University of Technology,"7,140",23.5,1%,30 : 70
1001–1200,Kumamoto University,"9,935",8.0,8%,38 : 62
1001–1200,Kyoto Prefectural University of Medicine,"1,358",3.4,1%,46 : 54
1001–1200,University of Lahore,"29,658",14.9,2%,36 : 64
1001–1200,University of Las Palmas de Gran Canaria,"17,823",18.2,8%,57 : 43
1001–1200,Lebanese University,"49,737",15.5,16%,70 : 30
1001–1200,University of Leon,"12,121",13.2,15%,53 : 47
1001–1200,Lorestan University,"8,700",26.0,1%,56 : 44
1001–1200,Lovely Professional University,"31,102",15.1,6%,23 : 77
1001–1200,University of Malaga,"35,860",12.3,7%,54 : 46
1001–1200,Universiti Malaysia Perlis,"11,084",10.7,5%,42 : 58
1001–1200,Manipal Academy of Higher Education,"22,337",9.0,12%,49 : 51
1001–1200,University of Manouba,"16,874",12.8,2%,67 : 33
1001–1200,University of Maribor,"11,732",13.2,7%,54 : 46
1001–1200,University of Mazandaran,"13,672",33.2,7%,61 : 39
1001–1200,Medical University of Warsaw,"10,221",6.8,8%,72 : 28
1001–1200,Minia University,"76,018",18.7,1%,59 : 41
1001–1200,Mississippi State University,"28,074",19.6,3%,52 : 48
1001–1200,Morgan State University,"7,118",12.6,10%,56 : 44
1001–1200,University of Mumbai,"13,196",23.7,0%,44 : 56
1001–1200,University of Murcia,"27,067",15.9,8%,62 : 38
1001–1200,Nagasaki University,"8,877",6.7,6%,39 : 61
1001–1200,Nanjing University of Aeronautics and Astronautics,"30,713",15.7,3%,29 : 71
1001–1200,National Central University,"11,101",9.8,12%,34 : 66
1001–1200,National Chengchi University,"12,750",14.9,16%,56 : 44
1001–1200,National University of Colombia,"51,722",21.6,1%,38 : 62
1001–1200,National Dong Hwa University,"9,907",16.7,8%,52 : 48
1001–1200,"National Institute of Technology, Tiruchirappalli","6,188",15.0,8%,22 : 78
1001–1200,National University of San Martin,"15,964",15.8,5%,65 : 35
1001–1200,National Taipei University of Technology,"9,882",15.6,11%,28 : 72
1001–1200,National Yunlin University of Science and Technology,"9,199",22.4,6%,43 : 57
1001–1200,Nicolaus Copernicus University in Toru<U+0144>,"23,157",15.3,3%,68 : 32
1001–1200,North China Electric Power University,"37,957",19.1,3%,36 : 64
1001–1200,Northwest University,"24,365",13.4,7%,55 : 45
1001–1200,Oakland University,"15,544",18.4,4%,57 : 43
1001–1200,Obuda University,"12,378",50.1,5%,19 : 81
1001–1200,Ocean University of China,"29,189",15.5,4%,54 : 46
1001–1200,Okayama University,"13,145",10.3,9%,40 : 60
1001–1200,Osmania University,"12,584",27.3,3%,39 : 61
1001–1200,Ozyegin University,"6,649",21.0,5%,43 : 57
1001–1200,Pavol Jozef <U+0160>afarik University in Ko<U+0161>ice,"7,198",10.6,23%,60 : 40
1001–1200,Universitas Pendidikan Indonesia,"34,766",22.8,1%,72 : 28
1001–1200,Polytechnic Institute of Porto,"18,428",16.4,7%,48 : 52
1001–1200,Pondicherry University,"7,080",21.1,1%,45 : 55
1001–1200,Pontifical Catholic University of Peru,"26,809",7.1,2%,46 : 54
1001–1200,Pontifical Catholic University of Valparaiso,"17,411",25.4,1%,42 : 58
1001–1200,Pontificia Universidade Catolica do Parana,"13,324",14.9,1%,55 : 45
1001–1200,University of Primorska,"5,149",15.1,14%,77 : 23
1001–1200,Public University of Navarre,"7,498",11.4,8%,51 : 49
1001–1200,University of Puerto Rico,"49,505",12.0,0%,60 : 40
1001–1200,University of the Punjab,"27,907",23.7,0%,52 : 48
1001–1200,University Rey Juan Carlos,"44,197",21.9,8%,59 : 41
1001–1200,Riga Technical University,"10,515",32.5,18%,35 : 65
1001–1200,Rikkyo University,"19,946",15.5,5%,
1001–1200,Robert Gordon University,"8,899",18.7,23%,61 : 39
1001–1200,Rowan University,"17,576",17.5,3%,47 : 53
1001–1200,Universite Saint-Joseph de Beyrouth,"7,985",8.3,8%,62 : 38
1001–1200,Saitama Medical University,"1,942",1.5,0%,49 : 51
1001–1200,San Jose State University,"29,960",28.3,11%,52 : 48
1001–1200,University of Sargodha,"21,249",26.5,0%,52 : 48
1001–1200,SASTRA University,"9,851",13.6,0%,44 : 56
1001–1200,Sechenov University,"16,076",7.7,21%,69 : 31
1001–1200,Semnan University,"14,606",14.6,1%,50 : 50
1001–1200,University of Seoul,"9,183",16.6,6%,
1001–1200,University of Seville,"49,826",16.9,11%,58 : 42
1001–1200,Shahid Chamran University of Ahvaz,"13,079",21.7,3%,59 : 41
1001–1200,Shahrekord University,"6,954",20.2,0%,59 : 41
1001–1200,Shahrood University of Technology,"8,269",22.8,1%,42 : 58
1001–1200,Shanghai Maritime University,"22,774",15.8,3%,46 : 54
1001–1200,Shiga University of Medical Science,"1,155",3.1,3%,49 : 51
1001–1200,Siberian Federal University,"10,168",19.3,12%,35 : 65
1001–1200,University of Social Welfare and Rehabilitation Sciences,"1,732",11.0,2%,68 : 32
1001–1200,Sogang University,"9,652",23.5,14%,45 : 55
1001–1200,South Ural State University,"20,326",14.2,9%,41 : 59
1001–1200,University of South Wales,"15,310",15.0,18%,54 : 46
1001–1200,Southwest Jiaotong University,"43,424",16.0,2%,25 : 75
1001–1200,University of Split,"19,600",17.0,2%,56 : 44
1001–1200,Sri Venkateswara University,"7,658",14.4,0%,42 : 58
1001–1200,Staffordshire University,"9,119",17.5,12%,48 : 52
1001–1200,St Marianna University School of Medicine,839,0.9,1%,36 : 64
1001–1200,SWPS University of Social Sciences and Humanities,"13,987",36.0,9%,75 : 25
1001–1200,Tallinn University,"4,062",10.3,19%,71 : 29
1001–1200,Tanta University,"124,548",22.8,1%,53 : 47
1001–1200,Technological University Dublin,"20,479",18.9,20%,43 : 57
1001–1200,University of Technology of Compiegne,"4,241",15.8,23%,39 : 61
1001–1200,University of Technology of Troyes,"2,954",18.3,23%,23 : 77
1001–1200,Teesside University,"12,780",19.8,15%,57 : 43
1001–1200,Texas State University,"31,600",19.2,1%,59 : 41
1001–1200,Tezpur University,"3,985",12.8,0%,41 : 59
1001–1200,Tokyo University of Agriculture and Technology,"5,690",15.2,6%,31 : 69
1001–1200,Tokyo Medical University,"1,370",1.7,0%,49 : 51
1001–1200,Tshwane University of Technology,"48,386",42.4,2%,54 : 46
1001–1200,University of Tunis El Manar,"29,049",8.9,2%,68 : 32
1001–1200,Universiti Tunku Abdul Rahman (UTAR),"17,727",15.4,4%,51 : 49
1001–1200,Ural Federal University,"27,099",13.0,16%,49 : 51
1001–1200,Urmia University,"14,729",28.9,1%,50 : 50
1001–1200,"Vietnam National University, Hanoi","41,803",14.3,1%,64 : 36
1001–1200,University of Vigo,"17,794",15.6,6%,51 : 49
1001–1200,Vilnius Gediminas Technical University (Vilnius Tech),"9,164",13.8,12%,32 : 68
1001–1200,"Visvesvaraya National Institute of Technology, Nagpur","4,616",17.2,3%,24 : 76
1001–1200,Volgograd State Technical University,"13,307",14.1,8%,31 : 69
1001–1200,University of West Bohemia,"10,751",14.8,4%,54 : 46
1001–1200,University of Wolverhampton,"14,527",17.6,22%,63 : 37
1001–1200,Xiangtan University,"31,402",20.9,2%,54 : 46
1001–1200,Yangzhou University,"34,393",12.6,4%,55 : 45
1001–1200,Y<U+0131>ld<U+0131>z Technical University,"31,369",33.3,6%,42 : 58
1001–1200,University of Zagreb,"57,807",15.2,4%,60 : 40
1001–1200,Zanjan University of Medical Sciences,"4,677",11.1,1%,57 : 43
1001–1200,University of Zaragoza,"27,953",10.0,7%,54 : 46
1001–1200,Zhejiang University of Technology,"31,469",14.9,7%,
1001–1200,University of <U+017D>ilina,"7,040",12.2,2%,34 : 66
1201+,Chang Gung University of Science and Technology,"6,318",26.4,1%,90 : 10
1201+,Lucian Blaga University of Sibiu,"12,174",15.8,2%,62 : 38
1201+,Ming Chi University of Technology,"4,496",18.5,2%,27 : 73
1201+,Nizhny Novgorod State Technical University,"7,165",10.1,3%,26 : 74
1201+,Oles Honchar Dnipro National University,"9,522",12.1,1%,60 : 40
1201+,Persian Gulf University,"6,689",29.3,1%,53 : 47
1201+,Technical University of Sofia,"10,560",13.1,7%,36 : 64
1201+,University of Ilorin,"56,941",37.9,0%,41 : 59
1201+,University of Pannonia,"5,890",16.9,9%,48 : 52
1201+,University of Rijeka,"14,423",17.3,1%,57 : 43
1201+,University of Shanghai for Science and Technology,"29,817",11.4,2%,41 : 59
1201+,University of Abou Bekr Belkaid Tlemcen,"42,261",21.2,1%,67 : 33
1201+,Ac<U+0131>badem University,"2,687",5.9,3%,74 : 26
1201+,Adolfo Ibanez University,"10,375",25.4,5%,38 : 62
1201+,AGH University of Science and Technology,"21,317",15.4,2%,35 : 65
1201+,Airlangga University,"27,351",9.7,2%,64 : 36
1201+,Akdeniz University,"41,824",28.1,3%,38 : 62
1201+,Akita University,"4,970",10.3,3%,36 : 64
1201+,Aksaray University,"21,939",27.3,7%,46 : 54
1201+,Alexandru Ioan Cuza University,"24,047",21.5,7%,63 : 37
1201+,Al-Farabi Kazakh National University,"23,253",5.0,15%,58 : 42
1201+,University of Alicante,"24,760",16.1,9%,58 : 42
1201+,Alzahra University,"9,738",22.1,1%,100 : 0
1201+,Amity University,"31,059",14.5,6%,49 : 51
1201+,Anadolu University,"29,612",22.9,4%,50 : 50
1201+,"University of the Andes, Venezuela","25,198",10.7,2%,60 : 40
1201+,Andhra University,"9,048",13.2,6%,49 : 51
1201+,Universidad Andres Bello (UNAB),"42,408",18.3,2%,54 : 46
1201+,Ankara University,"68,578",15.8,5%,52 : 48
1201+,Annamalai University,"16,582",10.9,2%,50 : 50
1201+,Aoyama Gakuin University,"19,275",11.8,4%,50 : 50
1201+,"Arab Academy for Science, Technology and Maritime Transport","27,395",12.5,4%,26 : 74
1201+,Arak University,"6,680",22.3,2%,56 : 44
1201+,Ariel University,"13,004",22.8,0%,43 : 57
1201+,Austral University of Chile,"16,886",17.8,2%,52 : 48
1201+,Universidad Autonoma del Estado de Hidalgo,"37,188",18.7,1%,57 : 43
1201+,Universidad Autonoma del Estado de Mexico (UAEMex),"63,490",12.4,0%,58 : 42
1201+,Universidad Autonoma del Estado de Morelos,"27,141",14.5,0%,55 : 45
1201+,Universidad Autonoma de Nuevo Leon (UANL),"123,370",42.9,1%,50 : 50
1201+,Universidad Autonoma de Queretaro,"23,966",42.4,1%,56 : 44
1201+,Universidad Autonoma de Yucatan,"17,401",14.1,0%,50 : 50
1201+,Autonomous University of Baja California,"65,528",21.8,2%,53 : 47
1201+,Autonomous University of Sinaloa,"83,516",24.6,0%,53 : 47
1201+,Badji Mokhtar University – Annaba,"46,884",16.1,1%,51 : 49
1201+,University of Baghdad,"69,750",11.0,0%,57 : 43
1201+,Bahauddin Zakariya University,"30,872",37.6,0%,40 : 60
1201+,Baku State University,"22,039",17.2,2%,70 : 30
1201+,Banasthali University,"10,387",17.5,5%,98 : 2
1201+,Bangladesh University of Engineering and Technology,"5,941",12.9,0%,22 : 78
1201+,Bashkir State University,"14,605",13.4,3%,60 : 40
1201+,Ba<U+015F>kent University,"13,545",12.7,2%,59 : 41
1201+,University of Basrah,"42,808",15.3,0%,57 : 43
1201+,University of Bejaia,"41,728",24.3,1%,61 : 39
1201+,Belarusian State University,"24,684",7.8,14%,61 : 39
1201+,Belgorod State National Research University,"13,290",14.8,18%,63 : 37
1201+,Benemerita Universidad Autonoma de Puebla,"79,502",44.3,0%,53 : 47
1201+,BINUS University,"15,287",13.9,4%,42 : 58
1201+,University of Bio-Bio,"12,933",25.7,1%,43 : 57
1201+,University of Birjand,"12,059",24.1,2%,53 : 47
1201+,University of Biskra,"33,639",23.8,1%,64 : 36
1201+,Blida 1 University,"32,458",22.4,1%,62 : 38
1201+,Bolu Abant Izzet Baysal University,"22,855",22.7,2%,56 : 44
1201+,University of Botswana,"12,975",17.1,4%,58 : 42
1201+,University of Brawijaya,"50,677",16.7,1%,55 : 45
1201+,Brno University of Technology,"17,671",16.8,22%,29 : 71
1201+,Bu-Ali Sina University,"11,049",25.3,1%,55 : 45
1201+,University of Bucharest,"30,096",51.7,2%,71 : 29
1201+,Budapest University of Technology and Economics,"19,351",17.5,12%,31 : 69
1201+,Burapha University,"33,104",23.1,1%,63 : 37
1201+,University of Burgos,"7,504",13.6,4%,47 : 53
1201+,Bursa Uluda<U+011F> University,"34,973",21.9,10%,53 : 47
1201+,University of Calcutta,"19,004",24.6,1%,60 : 40
1201+,University of Carthage,"28,985",9.4,1%,66 : 34
1201+,Catholic University of the North,"11,359",17.3,2%,46 : 54
1201+,University of Caxias do Sul,"14,389",25.3,0%,53 : 47
1201+,Ceara State University,"15,719",13.2,0%,49 : 51
1201+,Chaoyang University of Technology,"15,858",40.6,6%,55 : 45
1201+,"University of Chemistry and Technology, Prague","3,842",8.5,23%,60 : 40
1201+,University of Chester,"10,740",18.3,13%,68 : 32
1201+,Chiba Institute of Technology,"9,981",23.3,2%,14 : 86
1201+,Chubu University,"11,974",22.1,2%,26 : 74
1201+,Chungbuk National University,"17,669",13.9,6%,44 : 56
1201+,Chuo University,"25,729",37.3,4%,37 : 63
1201+,Cochin University of Science and Technology,"3,545",17.3,1%,58 : 42
1201+,University of Colorado Colorado Springs,"12,807",22.0,2%,54 : 46
1201+,Comillas Pontifical University,"10,003",21.8,6%,54 : 46
1201+,Corvinus University of Budapest,"12,722",26.7,20%,54 : 46
1201+,Cracow University of Technology,"13,092",12.1,2%,38 : 62
1201+,Cukurova University,"42,177",18.6,4%,46 : 54
1201+,Damghan University,"4,706",27.7,0%,62 : 38
1201+,University of Dar es Salaam,"34,259",20.5,0%,43 : 57
1201+,De La Salle University,"12,386",15.3,3%,49 : 51
1201+,Del Rosario University,"10,487",11.8,2%,60 : 40
1201+,Democritus University of Thrace,"28,311",46.6,2%,55 : 45
1201+,Dicle University,"26,024",15.8,2%,41 : 59
1201+,Diponegoro University,"38,567",13.7,2%,56 : 44
1201+,Dokkyo Medical University,"1,352",1.3,1%,52 : 48
1201+,Dokuz Eylul University,"58,563",18.3,2%,47 : 53
1201+,Doshisha University,"28,074",18.6,4%,42 : 58
1201+,Dumlupinar University,"45,945",48.8,2%,42 : 58
1201+,Dunarea de Jos University of Galati,"12,570",16.3,22%,57 : 43
1201+,EAFIT University,"14,890",24.6,3%,45 : 55
